match_id,city,stadium,venue_id,country
11701923,Sharm El Sheikh,Court 4,28799,Egypt
11701924,Zaragoza,Court 2,36542,Spain
11701925,Sharm El Sheikh,Court 5,33931,Egypt
11701926,Sharm El Sheikh,Court 6,33930,Egypt
11701927,Sharm El Sheikh,Court 5,33931,Egypt
11701928,Sharm El Sheikh,Court 6,33930,Egypt
11701929,Sharm El Sheikh,Court 3,17612,Egypt
11701930,Sharm El Sheikh,Court 6,33930,Egypt
11701931,Sharm El Sheikh,Court 4,28799,Egypt
11701932,Sharm El Sheikh,Court 5,33931,Egypt
11701933,Zaragoza,Court 1,41902,Spain
11701934,Sharm El Sheikh,Court 6,33930,Egypt
11702042,Mouilleron-Le-Captif,Court Annexe,19285,France
11702214,Mendoza,Court 6,19869,Argentina
11702216,Mendoza,Court 4,19867,Argentina
11702217,Mendoza,Court 5,19870,Argentina
11702218,Mendoza,Court 1,19871,Argentina
11702220,Mendoza,Court 2,19872,Argentina
11702221,Mendoza,Court 3,41916,Argentina
11702222,Mendoza,Court 8,41915,Argentina
11702224,Mendoza,Court 1,19871,Argentina
11702225,Mendoza,Court 5,19870,Argentina
11702230,Mendoza,Court 8,41915,Argentina
11702232,Mendoza,Court 4,19867,Argentina
11702238,Mendoza,Court 7,19868,Argentina
11702241,Mendoza,Court 3,41916,Argentina
11702242,Mendoza,Court 7,19868,Argentina
11702243,Mendoza,Court 2,19872,Argentina
11702244,Mendoza,Court 6,19869,Argentina
11702248,N/A,Court 3,36105,
11703221,Pazardzhik,Court 3,30758,Bulgaria
11703236,Bad Waltersdorf,Court 6,32758,Austria
11703242,Pazardzhik,Court 4,30757,Bulgaria
11703331,Pazardzhik,Court 5,39394,Bulgaria
11703442,Monastir,Center Court,23654,Tunisia
11703443,Monastir,Court 2,23360,Tunisia
11703444,Monastir,Court 5,23362,Tunisia
11703445,Monastir,Court 3,23363,Tunisia
11703470,Reims,Court Central,41907,France
11703524,Monastir,Court 1,23881,Tunisia
11703525,Pazardzhik,Court 5,39394,Bulgaria
